id	filename	md5	size	state
a066b306-49fe-47c4-a19f-f86f40ada4d5	efd20b42-06c3-4d61-96f2-430d60ac65f2.wxs.aliquot_ensemble_masked.maf.gz	09df3621f913d47e1e37ec92573a5056	252602	released
61300c06-3272-45e4-b19f-94dfd276debd	f3934f06-2c19-40b7-88dc-b46d1a573bdc.wxs.aliquot_ensemble_masked.maf.gz	5153eb8081c86b3e7fe5f19f904d1149	29232	released
6bd62e34-5534-4ee0-b69b-c40ab757489d	c7ee3e85-75fb-4fe9-ae51-97d149781b26.wxs.aliquot_ensemble_masked.maf.gz	9f0a8b2db58048f38915d6270939e6d7	269984	released
84a48edd-9391-4b35-b78c-506fd1191abc	65b73b0e-67a7-43b6-8719-8935176d13f0.wxs.aliquot_ensemble_masked.maf.gz	d7fc0f30110aff0556d1f8567f603144	59238	released
b931fc3c-3928-4737-8316-5832ec099b4f	abed1903-4541-4fa2-a274-079a88bee472.wxs.aliquot_ensemble_masked.maf.gz	7fd87f4dd5cb9c79b85ac865cf796de0	83129	released
daa62b29-d8fe-43eb-bb9c-669eaec73123	99cfabdf-62e3-484e-8d01-5af18b1663b3.wxs.aliquot_ensemble_masked.maf.gz	6f839db014c3cc0b5f8cd4dd797b6a04	31944	released
bc9ea226-6b5d-4214-86f6-e8fa3ae7a564	c1875b28-01c3-4271-94ce-23815e4bb1f4.wxs.aliquot_ensemble_masked.maf.gz	a4a5035cd51072d25bf998920dea8eed	14377	released
f09a0f5c-d15f-40c1-b60a-586f4b4f7701	a5e85aa5-64db-4a3e-9419-aad9bba12488.wxs.aliquot_ensemble_masked.maf.gz	33f03c1d59db9b056ac93862b937a187	56643	released
652f3ee5-c653-4596-aeee-28984b11c5ae	c37fc808-f63e-40a5-9892-40a3d2d68c2f.wxs.aliquot_ensemble_masked.maf.gz	535e4e8d66bb7d5ee468256a735b3e42	65338	released
6bfa1e21-392f-4400-be5e-74deba5cb673	b044473a-8ac7-4fca-928e-274b08fa8e06.wxs.aliquot_ensemble_masked.maf.gz	37b639a139816bd16004c34f6d402c0a	74365	released
d0aef9a8-1d05-40c0-8225-e8ea61e5f8d3	5b04d9eb-98b0-4aff-8168-53a6b31bd9c5.wxs.aliquot_ensemble_masked.maf.gz	6947a8f1f6c471b953bd99ea0ac24b27	111166	released
3015eea2-632f-4290-99eb-76e8d88a14f2	074862f2-acbf-4141-a72a-da28c9cb5f39.wxs.aliquot_ensemble_masked.maf.gz	c73d357d5e2dcfe8398c02a9428f93a2	67695	released
b6171ad0-d84d-46c2-adaa-500b7b45bbbb	1e6b8d4b-6a0f-4c9d-af8c-5a6f592aa5fb.wxs.aliquot_ensemble_masked.maf.gz	8c646fbde4cc088ddf602ac539daa936	23069	released
ac9fbafb-890f-455c-8178-6e089f108b81	ce82f575-1f44-4d65-9d54-a1844d282752.wxs.aliquot_ensemble_masked.maf.gz	1e1a552dd4aa1e2a336087d9f15ca5dd	3089	released
3e4e26b2-ee75-4349-80c4-7ad68b2e4e8b	5f03ea6f-ff8f-401c-8585-4c6e7fd81f47.wxs.aliquot_ensemble_masked.maf.gz	b0b3c8b2b19cffce463c0e48e6d377df	1142	released
26d7b691-e994-4667-a0d9-38f1bb86e484	0c272376-5384-4ce1-877f-792d9732b04d.wxs.aliquot_ensemble_masked.maf.gz	0510a3b3f40120c7368c8212c8562001	39175	released
e3ceae3d-740d-429c-9627-6d6a6ec77947	00c2e7e1-5cac-4ff6-84ac-68d01caf2bd3.wxs.aliquot_ensemble_masked.maf.gz	b9bc7984fdebc3be0437468466e4af94	188082	released
327fe3d9-a1ba-413e-b37c-b07fc3ca2382	baa26760-7f80-4254-bb9d-ce5b8a3e320f.wxs.aliquot_ensemble_masked.maf.gz	dd15c3a46843c22b0797aa33d7a311e7	268178	released
e2025176-89e8-4afd-8e08-3b89c336e0c2	960c38ee-03c4-4b33-8085-974c58cf6d83.wxs.aliquot_ensemble_masked.maf.gz	719c7bd30dd8c9ee855d550a80f0c6e3	103628	released
259a728a-4631-4fb7-8476-0e26bb956954	e8c0f5da-a42f-4276-8ee7-55b5b071f099.wxs.aliquot_ensemble_masked.maf.gz	677d57534866996315ab163bf864e93d	154588	released
01e89769-e754-4eca-a5a3-b1b72ac4953f	751f6ac7-2f2a-4300-9ba4-87a92920d8bb.wxs.aliquot_ensemble_masked.maf.gz	1b7474fecd330ee44bc3081c97dfa3e1	197646	released
a0f11989-c592-4d6b-a1ce-58f2a93cd7f0	d5ce47ea-a60d-4981-8cd7-6d6e13b08033.wxs.aliquot_ensemble_masked.maf.gz	5bd1718190011780c753d1ef6940fde7	68156	released
9771081f-8e15-4df0-b25c-1c03c4a89ba6	9d21dcbc-0fcc-4694-aa8a-52f3a51a2ccb.wxs.aliquot_ensemble_masked.maf.gz	b5f713a61215e99c3e26fd5a25cdb4f3	41407	released
0121a6c3-c7ae-4619-b07a-27bb28541478	87c3bd07-208e-40e5-b427-f4f917260392.wxs.aliquot_ensemble_masked.maf.gz	80a4af8163e804700184db31a288e843	177488	released
6b197f17-cb41-47b5-a743-336d6143cf1b	684304b9-825b-4504-99ae-6a6aca122929.wxs.aliquot_ensemble_masked.maf.gz	7eccfa377e06ee845fd31f97705bd908	86560	released
d1b83294-f226-4a26-b60c-601ea22ba6b0	3fa2c611-fe96-41ec-8a00-2b46cd730896.wxs.aliquot_ensemble_masked.maf.gz	aa582533600f13eb7536be30c034e975	28569	released
cc56a73a-86b6-4289-9f1f-c4f86f3e9870	80d84e51-81ac-4eee-b33f-9aec47ac3ab8.wxs.aliquot_ensemble_masked.maf.gz	5a2871ecfb9b827ab1b30a36e8a095c2	53362	released
15a1e41c-d1b4-435d-816e-930c8731998e	5e374a19-87e1-41ed-9dd7-9fd2e653c13a.wxs.aliquot_ensemble_masked.maf.gz	65936aacc9d90907401da084fd9d3e50	95898	released
06c8f74d-21ff-43ff-b921-a364f8010b42	5623afdf-6852-4592-9a22-a36ac4319bb9.wxs.aliquot_ensemble_masked.maf.gz	4b19f22791cac8c377d771bfb2984213	48005	released
4236883f-0c7e-442e-822e-86fc41b8dbe3	33467953-393f-4b0b-82f0-6714ce0b75f4.wxs.aliquot_ensemble_masked.maf.gz	e78bb3cba1d348b13b8e3649246613b1	290813	released
4043db72-f008-44d3-b59d-660a2272e4b8	f4d7bedd-5236-4302-876e-485fc1e8b185.wxs.aliquot_ensemble_masked.maf.gz	4544c41ae107bfed0533cca66f939d10	25706	released
cd5571bd-0192-4e4b-af24-f1dcd1d80f74	5098297b-dbff-4450-b7e1-c4467e65b3ec.wxs.aliquot_ensemble_masked.maf.gz	63db10c67da90bd4b5e136ed85eaf8ad	43366	released
06ce81ad-a9fd-4f9c-9c7e-1ddbd8ec9d29	c07a24a8-cdb2-4ae2-af2c-33848f15159f.wxs.aliquot_ensemble_masked.maf.gz	fd9228e492468a876dbca6ce705f3978	159106	released
3e44a213-5858-411a-80be-23104fb8066f	56b2a13b-1539-4ef2-ae60-e5a29c673f9a.wxs.aliquot_ensemble_masked.maf.gz	144f65ab618ac8c83cf8bc4ee7f32b51	21465	released
4dad599e-bbfb-42a5-b23f-13511e29cf1e	e37f949e-f31e-4c48-abaa-27231b24694b.wxs.aliquot_ensemble_masked.maf.gz	a66e62e67678a7fbe0b5a71ffef50c0b	43240	released
7c66bb58-dc9f-4682-815d-d253f23a0283	6afd19e1-f1cd-436a-ab7d-2b622d3d0e25.wxs.aliquot_ensemble_masked.maf.gz	e2da81d71adfa62c5c3856b9e13b22ba	223624	released
546e44ff-279b-4e74-bb3e-071d408856c9	4afba480-8150-42e7-a03b-8fa54760c1e1.wxs.aliquot_ensemble_masked.maf.gz	c7d68650f99cb59d752aee1e882f8327	173056	released
c386bb76-de34-4b20-b0c9-f03a8b5047bb	5d96a89e-554d-42d2-835e-660ba5f5a325.wxs.aliquot_ensemble_masked.maf.gz	7b927afb0cd9bc7752f34db7c45c3f49	55549	released
