ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000848,SIDM00614,1240160.0,JHH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH7_LIVER
ACH-000849,SIDM00628,908123.0,MDA-MB-468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB468_BREAST
ACH-000852,SIDM00658,1298347.0,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1435_LUNG
ACH-000853,SIDM01122,687829.0,NCI-H661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH661_LUNG
ACH-000855,SIDM01031,907317.0,KYSE-150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE150_OESOPHAGUS
ACH-000856,SIDM00933,910927.0,CAL-51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CAL51_BREAST
ACH-000857,SIDM00928,910852.0,CAL-85-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CAL851_BREAST
ACH-000858,SIDM00606,753569.0,KNS-62,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,KNS62_LUNG
ACH-000859,SIDM00872,749709.0,HCC1954,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1954_BREAST
ACH-000860,SIDM00718,908465.0,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH358_LUNG
ACH-000861,SIDM00133,905972.0,HOP-62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HOP62_LUNG
ACH-000863,SIDM00867,906835.0,DBTRG-05MG,CNS/Brain,Diffuse Glioma,Glioblastoma,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
ACH-000864,SIDM00142,910691.0,COLO 684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,COLO684_ENDOMETRIUM
ACH-000865,SIDM01027,907320.0,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE450_OESOPHAGUS
ACH-000866,SIDM00654,687995.0,NCI-H1048,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1048_LUNG
ACH-000867,SIDM00924,687596.0,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CHAGOK1_LUNG
ACH-000869,SIDM00750,1298348.0,NCI-H1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1568_LUNG
ACH-000871,SIDM00927,753605.0,NCI-H510,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH510_LUNG
ACH-000873,SIDM01029,907319.0,KYSE-270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE270_OESOPHAGUS
ACH-000874,SIDM01086,909703.0,RS4;11,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000875,SIDM00726,687820.0,NCI-H2347,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2347_LUNG
ACH-000876,SIDM00630,924240.0,MDA-MB-415,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB415_BREAST
ACH-000878,SIDM01072,1240143.0,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HCC15_LUNG
ACH-000879,SIDM00334,908130.0,MFE-296,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,MFE296_ENDOMETRIUM
ACH-000880,SIDM00850,906790.0,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,AGS_STOMACH
ACH-000881,SIDM00336,908125.0,MEL-JUSO,Skin,Melanoma,Cutaneous Melanoma,MELJUSO_SKIN
ACH-000882,SIDM01060,907169.0,IGR-1,Skin,Melanoma,Melanoma,IGR1_SKIN
ACH-000883,SIDM01164,909750.0,SW 1783,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,SW1783_CENTRAL_NERVOUS_SYSTEM
ACH-000885,SIDM01169,1240222.0,TOV-21G,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,TOV21G_OVARY
ACH-000886,SIDM00756,724873.0,NCI-H2009,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2009_LUNG
ACH-000888,SIDM00755,908463.0,NCI-H1793,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1793_LUNG
ACH-000890,SIDM01156,1299062.0,SW 1271,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,SW1271_LUNG
ACH-000892,SIDM00751,753600.0,NCI-H1563,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1563_LUNG
ACH-000893,SIDM00744,910900.0,NCI-H1651,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1651_LUNG
ACH-000894,SIDM00768,1240183.0,NCI-H1869,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1869_LUNG
ACH-000896,SIDM00983,906797.0,647-V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,647V_URINARY_TRACT
ACH-000900,SIDM00138,905942.0,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH23_LUNG
ACH-000902,SIDM00938,924106.0,CAL-148,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CAL148_BREAST
ACH-000903,SIDM00213,906864.0,FTC-133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,FTC133_THYROID
ACH-000905,SIDM00807,687452.0,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,5637_URINARY_TRACT
ACH-000906,SIDM00861,1240128.0,ES-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,ES2_OVARY
ACH-000910,SIDM00272,908122.0,MDA-MB-453,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB453_BREAST
ACH-000911,SIDM00572,908455.0,NUGC-3,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,NUGC3_STOMACH
ACH-000913,SIDM01043,907000.0,ESS-1,Uterus,Uterine Sarcoma/Mesenchymal,Endometrial Stromal Sarcoma,ESS1_ENDOMETRIUM
ACH-000914,SIDM00661,907063.0,HT,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000915,SIDM01059,907171.0,IPC-298,Skin,Melanoma,Cutaneous Melanoma,IPC298_SKIN
ACH-000916,SIDM00749,908472.0,NCI-H1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1573_LUNG
ACH-000917,SIDM00250,1503371.0,TE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE4_OESOPHAGUS
ACH-000918,SIDM00431,908147.0,MOLT-16,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000919,SIDM00602,1240155.0,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,IM95_STOMACH
ACH-000920,SIDM00958,910951.0,CML-T1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000922,SIDM00449,1330994.0,RCH-ACV,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000924,SIDM00926,1298353.0,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2172_LUNG
ACH-000926,SIDM00541,907287.0,HT-55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT55_LARGE_INTESTINE
ACH-000927,SIDM00963,946359.0,BT-474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT474_BREAST
ACH-000929,SIDM00703,1298351.0,NCI-H2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2110_LUNG
ACH-000930,SIDM00878,907046.0,HCC1569,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1569_BREAST
ACH-000932,SIDM01146,908444.0,SNU-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU1_STOMACH
ACH-000934,SIDM00528,908121.0,MDA-MB-361,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB361_BREAST
ACH-000935,SIDM00527,1240173.0,MDST8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,MDST8_LARGE_INTESTINE
ACH-000936,SIDM01051,906852.0,EFO-27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,EFO27_OVARY
ACH-000937,SIDM00451,909260.0,PF-382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000938,SIDM00429,908158.0,NALM-6,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000939,SIDM01113,909732.0,SK-UT-1,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,SKUT1_SOFT_TISSUE
ACH-000940,SIDM00901,910781.0,AN3 CA,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,AN3CA_ENDOMETRIUM
ACH-000943,SIDM01090,909698.0,RKO,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,RKO_LARGE_INTESTINE
ACH-000944,SIDM00641,908159.0,NAMALWA,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000945,SIDM01124,722066.0,NCI-H650,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH650_LUNG
ACH-000947,SIDM00238,1480371.0,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,OVK18_OVARY
ACH-000948,SIDM00980,910924.0,23132/87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,2313287_STOMACH
ACH-000949,SIDM00251,909770.0,TGBC11TKB,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,TGBC11TKB_STOMACH
ACH-000950,SIDM00839,907790.0,LoVo,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LOVO_LARGE_INTESTINE
ACH-000951,SIDM00727,687819.0,NCI-H2342,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2342_LUNG
ACH-000953,SIDM01154,909743.0,SUP-T1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000955,SIDM00214,1660034.0,SNU-407,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU407_LARGE_INTESTINE
ACH-000956,SIDM00499,924100.0,22Rv1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,22RV1_PROSTATE
ACH-000957,SIDM00680,998189.0,LS 180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS180_LARGE_INTESTINE
ACH-000958,SIDM00837,909751.0,SW48,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW48_LARGE_INTESTINE
ACH-000960,SIDM00447,909696.0,Reh,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000962,SIDM00220,909257.0,OC 314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OC314_OVARY
ACH-000963,SIDM00487,1240123.0,CCK-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CCK81_LARGE_INTESTINE
ACH-000965,SIDM01088,930082.0,RL95-2,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,RL952_ENDOMETRIUM
ACH-000966,SIDM00151,905968.0,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,IGROV1_OVARY
ACH-000968,SIDM00140,906814.0,COLO 792,Skin,Melanoma,Melanoma,COLO792_SKIN
ACH-000969,SIDM00150,905989.0,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,KM12_LARGE_INTESTINE
ACH-000970,SIDM00498,1674021.0,SNU-C5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC5_LARGE_INTESTINE
ACH-000971,SIDM00783,905936.0,HCT 116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT116_LARGE_INTESTINE
ACH-000973,SIDM00999,906798.0,639-V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,639V_URINARY_TRACT
ACH-000974,SIDM00373,909735.0,SNG-M,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,SNGM_ENDOMETRIUM
ACH-000976,SIDM00587,907069.0,HuCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,HUCCT1_BILIARY_TRACT
ACH-000977,SIDM00683,907788.0,LNCaP clone FGC,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,LNCAPCLONEFGC_PROSTATE
ACH-000978,SIDM01045,1240127.0,EN,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,EN_ENDOMETRIUM
ACH-000979,SIDM00120,905935.0,DU 145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,DU145_PROSTATE
ACH-000980,SIDM00651,908467.0,NCI-H1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1155_LUNG
ACH-000981,SIDM00946,1297446.0,DND-41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000983,SIDM01004,1330931.0,KCL-22,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000985,SIDM00660,907794.0,LS411N,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS411N_LARGE_INTESTINE
ACH-000986,SIDM00534,907289.0,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT115_LARGE_INTESTINE
ACH-000987,SIDM00545,908128.0,MeWo,Skin,Melanoma,Cutaneous Melanoma,MEWO_SKIN
ACH-000988,SIDM00333,1240174.0,MFE-319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,MFE319_ENDOMETRIUM
ACH-000989,SIDM00216,1659928.0,SNU-175,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,SNU175_LARGE_INTESTINE
ACH-000991,SIDM00193,1660036.0,SNU-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU81_LARGE_INTESTINE
ACH-000995,SIDM01016,998184.0,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000997,SIDM00789,905937.0,HCT-15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT15_LARGE_INTESTINE
ACH-000998,SIDM00282,910554.0,CW-2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CW2_LARGE_INTESTINE
ACH-000999,SIDM00217,1659823.0,SNU-1040,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU1040_LARGE_INTESTINE
ACH-001002,SIDM01240,1287706.0,451Lu,Skin,Melanoma,Cutaneous Melanoma,451LU_SKIN
ACH-001016,SIDM00490,906746.0,Becker,CNS/Brain,Diffuse Glioma,Astrocytoma,BECKER_CENTRAL_NERVOUS_SYSTEM
ACH-001021,SIDM01237,910850.0,C3A,Liver,Hepatoblastoma,Hepatoblastoma,C3A_LIVER
ACH-001023,SIDM01248,910568.0,CGTH-W-1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,CGTHW1_THYROID
ACH-001024,SIDM01228,910853.0,CHL-1,Skin,Melanoma,Melanoma,CHL1_SKIN
ACH-001039,SIDM00826,905961.0,COLO 205,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COLO205_LARGE_INTESTINE
ACH-001049,SIDM00953,753547.0,CPC-N,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CPCN_LUNG
ACH-001063,SIDM00969,1479987.0,DOV13,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,DOV13_OVARY
ACH-001064,SIDM00863,906846.0,EB-2,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001065,SIDM01042,906862.0,Evsa-T,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,EVSAT_BREAST
ACH-001075,SIDM00493,753604.0,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,NCIH292_LUNG
ACH-001081,SIDM00118,905971.0,HCC2998,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCC2998_LARGE_INTESTINE
ACH-001086,SIDM00846,1298134.0,HeLa,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,HELA_CERVIX
ACH-001089,SIDM00064,907057.0,HLE,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HLE_LIVER
ACH-001106,SIDM01034,1330933.0,KOPN-8,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001107,SIDM00583,1298216.0,KP-1N,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KP1N_PANCREAS
ACH-001118,SIDM00659,949094.0,M059J,CNS/Brain,Diffuse Glioma,Glioblastoma,M059J_CENTRAL_NERVOUS_SYSTEM
ACH-001125,SIDM00532,908144.0,MOG-G-CCM,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,MOGGCCM_CENTRAL_NERVOUS_SYSTEM
ACH-001126,SIDM00504,908145.0,MOG-G-UVW,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,MOGGUVW_CENTRAL_NERVOUS_SYSTEM
ACH-001127,SIDM00145,905958.0,MOLT-4,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001137,SIDM00758,908476.0,NCI-H1993,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1993_LUNG
ACH-001138,SIDM00699,688014.0,NCI-H2141,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2141_LUNG
ACH-001151,SIDM00091,905969.0,OVCAR-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR5_OVARY
ACH-001182,SIDM00813,909701.0,RPMI 6666,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001189,SIDM01095,909716.0,SJRH-30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,SJRH30_SOFT_TISSUE
ACH-001190,SIDM00082,905955.0,SK-MEL-2,Skin,Melanoma,Melanoma,SKMEL2_SKIN
ACH-001193,SIDM01097,909731.0,SK-PN-DW,Bone,Ewing Sarcoma,Ewing Sarcoma,SKPNDW_BONE
ACH-001199,SIDM00781,909740.0,SNUC2B,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC2B_LARGE_INTESTINE
ACH-001203,SIDM00422,1331039.0,SUP-HD1,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001208,SIDM00113,905980.0,TK-10,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,TK10_KIDNEY
ACH-001227,SIDM00399,1299052.0,UPCI-SCC-090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,UPCISCC090_UPPER_AERODIGESTIVE_TRACT
ACH-001233,SIDM00320,713869.0,VMRC-LCD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,VMRCLCD_LUNG
ACH-001274,SIDM01161,909759.0,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SW982_SOFT_TISSUE
ACH-001306,SIDM00997,906795.0,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8305C_THYROID
ACH-001307,SIDM00996,924102.0,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8505C_THYROID
ACH-001321,SIDM00484,,TT,Thyroid,Medullary Thyroid Cancer,Medullary Thyroid Cancer,TT_THYROID
ACH-001328,SIDM00995,910925.0,A-431,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A431_SKIN
ACH-001331,SIDM00077,1290724.0,BICR 10,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR10_UPPER_AERODIGESTIVE_TRACT
ACH-001332,SIDM00501,1240122.0,BICR 78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR78_UPPER_AERODIGESTIVE_TRACT
ACH-001333,SIDM00889,687505.0,C-33 A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C33A_CERVIX
ACH-001334,SIDM00905,687506.0,C-4 I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C4I_CERVIX
ACH-001336,SIDM00923,906824.0,Ca Ski,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CASKI_CERVIX
ACH-001338,SIDM00285,910941.0,CHP-134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHP134_AUTONOMIC_GANGLIA
ACH-001341,SIDM00864,906843.0,DoTc2 4510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,DOTC24510_CERVIX
ACH-001344,SIDM00227,906872.0,GI-ME-N,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,GIMEN_AUTONOMIC_GANGLIA
ACH-001345,SIDM00537,907291.0,GP5d,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,GP5D_LARGE_INTESTINE
ACH-001350,SIDM00496,924151.0,HTC-C3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,HTCC3_THYROID
ACH-001355,SIDM00330,949170.0,LAN-6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,LAN6_AUTONOMIC_GANGLIA
ACH-001358,SIDM00631,1330941.0,MDA-MB-330,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,MDAMB330_BREAST
ACH-001359,SIDM00627,687514.0,ME-180,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,ME180_CERVIX
ACH-001360,SIDM00638,1240179.0,MS751,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,MS751_CERVIX
ACH-001362,SIDM00737,687804.0,NCI-H1770,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH1770_LUNG
ACH-001363,SIDM00700,1298352.0,NCI-H2135,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2135_LUNG
ACH-001364,SIDM00719,688021.0,NCI-H345,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH345_LUNG
ACH-001365,SIDM01149,1240193.0,NCI-H847,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH847_LUNG
ACH-001368,SIDM00444,1503363.0,OAC-M5.1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OACM51_OESOPHAGUS
ACH-001373,SIDM00476,1480361.0,OV17R,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV17R_OVARY
ACH-001374,SIDM01140,909255.0,PA-1 [PA1],Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,Mixed Germ Cell Tumor,PA1_OVARY
ACH-001383,SIDM01114,1330993.0,PWR-1E,Prostate,Non-Cancerous,Immortalized Prostate Cells,PWR1E_PROSTATE
ACH-001384,SIDM00218,930083.0,RO82-W-1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,RO82W1_THYROID
ACH-001398,SIDM01162,1240220.0,SW 156,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,SW156_KIDNEY
ACH-001399,SIDM01168,909753.0,SW 626,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW626_LARGE_INTESTINE
ACH-001400,SIDM01157,924247.0,SW 954,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,SW954_CERVIX
ACH-001401,SIDM00814,909744.0,SW-13,Adrenal Gland,Adrenocortical Carcinoma,Adrenocortical Carcinoma,SW13_ADRENAL_CORTEX
ACH-001402,SIDM01174,724839.0,SW756,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SW756_CERVIX
ACH-001417,SIDM01183,909779.0,UMC-11,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,UMC11_LUNG
ACH-001418,SIDM00815,1480374.0,UWB1.289,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,UWB1289_OVARY
ACH-001442,SIDM00794,910697.0,A388,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A388_SKIN
ACH-001443,SIDM00491,1290722.0,ASH-3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,ASH3_THYROID
ACH-001452,SIDM00984,906695.0,BONNA-12,Lymphoid,Mature B-Cell Neoplasms,Hairy Cell Leukemia,BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001453,SIDM00964,924105.0,BPH-1,Prostate,Non-Cancerous,"Hyperplasia, Prostate",BPH1_PROSTATE
ACH-001489,SIDM00508,1322212.0,COR-L32,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,CORL32_LUNG
