ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000430,SIDM00321,909774.0,TYK-nu,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,TYKNU_OVARY
ACH-000431,SIDM00741,688006.0,NCI-H1694,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1694_LUNG
ACH-000432,SIDM00962,910710.0,BV-173,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000433,SIDM00941,905963.0,Caki-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CAKI1_KIDNEY
ACH-000434,SIDM00763,1240184.0,NCI-H1915,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1915_LUNG
ACH-000437,SIDM01155,909745.0,SW 1088,CNS/Brain,Diffuse Glioma,Astrocytoma,SW1088_CENTRAL_NERVOUS_SYSTEM
ACH-000438,SIDM00547,724863.0,Lu-65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,LU65_LUNG
ACH-000439,SIDM00338,1330942.0,ME-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000440,SIDM00907,910703.0,CA46,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000441,SIDM01079,909713.0,SH-4,Skin,Melanoma,Melanoma,SH4_SKIN
ACH-000442,SIDM00354,1298538.0,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,RERFLCSQ1_LUNG
ACH-000443,SIDM00466,1240199.0,OVKATE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVKATE_OVARY
ACH-000447,SIDM00729,687816.0,NCI-H2228,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2228_LUNG
ACH-000448,SIDM00743,908473.0,NCI-H1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1666_LUNG
ACH-000449,SIDM00625,908127.0,MES-SA,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Sarcoma/Mesenchymal,MESSA_SOFT_TISSUE
ACH-000450,SIDM00337,908124.0,MEL-HO,Skin,Melanoma,Melanoma,MELHO_SKIN
ACH-000451,SIDM00709,687812.0,NCI-H2085,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2085_LUNG
ACH-000452,SIDM00326,753623.0,TE-8,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE8_OESOPHAGUS
ACH-000456,SIDM00992,924104.0,B-CPAP,Thyroid,Poorly Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Cancer,BCPAP_THYROID
ACH-000457,SIDM00932,910952.0,CAL-54,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,CAL54_KIDNEY
ACH-000463,SIDM00144,905943.0,NCI-H460,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH460_LUNG
ACH-000464,SIDM00212,910943.0,CAS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,CAS1_CENTRAL_NERVOUS_SYSTEM
ACH-000465,SIDM01107,909723.0,SK-MEL-1,Skin,Melanoma,Melanoma,SKMEL1_SKIN
ACH-000469,SIDM00316,909905.0,YH-13,CNS/Brain,Diffuse Glioma,Glioblastoma,YH13_CENTRAL_NERVOUS_SYSTEM
ACH-000470,SIDM00834,909748.0,SW1463,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SW1463_LARGE_INTESTINE
