ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000536,SIDM00893,906801.0,BT-20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT20_BREAST,3.0152128
ACH-000538,SIDM00694,907073.0,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,HUTU80_SMALL_INTESTINE,1.3146412
ACH-000544,SIDM00478,1298359.0,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,OE21_OESOPHAGUS,2.926764
ACH-000546,SIDM00588,907062.0,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC4_UPPER_AERODIGESTIVE_TRACT,3.197321
ACH-000547,SIDM00676,907065.0,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1197_URINARY_TRACT,3.651014
ACH-000548,SIDM00986,753535.0,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BHY_UPPER_AERODIGESTIVE_TRACT,3.402139
ACH-000551,SIDM00791,905940.0,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.6930807
ACH-000552,SIDM00136,905939.0,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT29_LARGE_INTESTINE,2.6829884
ACH-000554,SIDM01186,909778.0,UACC-893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,UACC893_BREAST,2.9375079
ACH-000555,SIDM00124,905948.0,A-498,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,A498_KIDNEY,3.3340151
ACH-000556,SIDM01093,930297.0,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SIHA_CERVIX,3.5720077
