ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000920,SIDM00958,910951.0,CML-T1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3110245
ACH-000922,SIDM00449,1330994.0,RCH-ACV,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.8219772
ACH-000924,SIDM00926,1298353.0,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2172_LUNG,3.6637313
ACH-000926,SIDM00541,907287.0,HT-55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT55_LARGE_INTESTINE,2.771882
ACH-000927,SIDM00963,946359.0,BT-474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT474_BREAST,4.166927
ACH-000929,SIDM00703,1298351.0,NCI-H2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2110_LUNG,2.1220236
ACH-000930,SIDM00878,907046.0,HCC1569,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1569_BREAST,2.4848168
ACH-000932,SIDM01146,908444.0,SNU-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU1_STOMACH,2.720485
ACH-000934,SIDM00528,908121.0,MDA-MB-361,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB361_BREAST,2.7653093
ACH-000935,SIDM00527,1240173.0,MDST8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,MDST8_LARGE_INTESTINE,2.4250152
ACH-000936,SIDM01051,906852.0,EFO-27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,EFO27_OVARY,3.449478
ACH-000937,SIDM00451,909260.0,PF-382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8713568
ACH-000938,SIDM00429,908158.0,NALM-6,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2563761
ACH-000939,SIDM01113,909732.0,SK-UT-1,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,SKUT1_SOFT_TISSUE,2.90107
ACH-000940,SIDM00901,910781.0,AN3 CA,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,AN3CA_ENDOMETRIUM,2.6333375
ACH-000943,SIDM01090,909698.0,RKO,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,RKO_LARGE_INTESTINE,2.4196045
ACH-000944,SIDM00641,908159.0,NAMALWA,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4579228
ACH-000945,SIDM01124,722066.0,NCI-H650,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH650_LUNG,3.3638146
ACH-000947,SIDM00238,1480371.0,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,OVK18_OVARY,2.8422904
ACH-000948,SIDM00980,910924.0,23132/87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,2313287_STOMACH,2.5477083
ACH-000949,SIDM00251,909770.0,TGBC11TKB,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,TGBC11TKB_STOMACH,2.8389106
ACH-000950,SIDM00839,907790.0,LoVo,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LOVO_LARGE_INTESTINE,2.5144734
ACH-000951,SIDM00727,687819.0,NCI-H2342,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2342_LUNG,3.7477057
ACH-000953,SIDM01154,909743.0,SUP-T1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0532637
ACH-000955,SIDM00214,1660034.0,SNU-407,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU407_LARGE_INTESTINE,2.9241207
ACH-000956,SIDM00499,924100.0,22Rv1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,22RV1_PROSTATE,3.098838
ACH-000957,SIDM00680,998189.0,LS 180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS180_LARGE_INTESTINE,3.245815
ACH-000958,SIDM00837,909751.0,SW48,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW48_LARGE_INTESTINE,2.3919907
ACH-000960,SIDM00447,909696.0,Reh,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0274282
ACH-000962,SIDM00220,909257.0,OC 314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OC314_OVARY,2.121759
ACH-000963,SIDM00487,1240123.0,CCK-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CCK81_LARGE_INTESTINE,2.4255698
ACH-000965,SIDM01088,930082.0,RL95-2,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,RL952_ENDOMETRIUM,2.7003598
ACH-000966,SIDM00151,905968.0,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,IGROV1_OVARY,2.3316445
ACH-000968,SIDM00140,906814.0,COLO 792,Skin,Melanoma,Melanoma,COLO792_SKIN,2.7344966
ACH-000969,SIDM00150,905989.0,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,KM12_LARGE_INTESTINE,2.6688747
ACH-000970,SIDM00498,1674021.0,SNU-C5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC5_LARGE_INTESTINE,2.9927692
ACH-000971,SIDM00783,905936.0,HCT 116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT116_LARGE_INTESTINE,2.298398
ACH-000973,SIDM00999,906798.0,639-V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,639V_URINARY_TRACT,2.7709103
ACH-000974,SIDM00373,909735.0,SNG-M,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,SNGM_ENDOMETRIUM,2.7404487
ACH-000976,SIDM00587,907069.0,HuCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,HUCCT1_BILIARY_TRACT,3.3541064
ACH-000977,SIDM00683,907788.0,LNCaP clone FGC,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,LNCAPCLONEFGC_PROSTATE,2.114883
ACH-000978,SIDM01045,1240127.0,EN,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,EN_ENDOMETRIUM,3.493785
ACH-000979,SIDM00120,905935.0,DU 145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,DU145_PROSTATE,4.0541363
ACH-000980,SIDM00651,908467.0,NCI-H1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1155_LUNG,2.3842402
ACH-000981,SIDM00946,1297446.0,DND-41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8218352
ACH-000983,SIDM01004,1330931.0,KCL-22,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.7220076
ACH-000985,SIDM00660,907794.0,LS411N,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS411N_LARGE_INTESTINE,3.1156998
ACH-000986,SIDM00534,907289.0,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT115_LARGE_INTESTINE,2.8610868
ACH-000987,SIDM00545,908128.0,MeWo,Skin,Melanoma,Cutaneous Melanoma,MEWO_SKIN,3.5446322
ACH-000988,SIDM00333,1240174.0,MFE-319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,MFE319_ENDOMETRIUM,3.0027435
ACH-000989,SIDM00216,1659928.0,SNU-175,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,SNU175_LARGE_INTESTINE,2.1787314
ACH-000991,SIDM00193,1660036.0,SNU-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU81_LARGE_INTESTINE,3.1697927
ACH-000995,SIDM01016,998184.0,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6872327
ACH-000997,SIDM00789,905937.0,HCT-15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT15_LARGE_INTESTINE,2.3736973
ACH-000998,SIDM00282,910554.0,CW-2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CW2_LARGE_INTESTINE,3.0264606
ACH-000999,SIDM00217,1659823.0,SNU-1040,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU1040_LARGE_INTESTINE,3.4157119
ACH-001016,SIDM00490,906746.0,Becker,CNS/Brain,Diffuse Glioma,Astrocytoma,BECKER_CENTRAL_NERVOUS_SYSTEM,3.3265254
ACH-001064,SIDM00863,906846.0,EB-2,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.162212
ACH-001075,SIDM00493,753604.0,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,NCIH292_LUNG,1.5289887
ACH-001086,SIDM00846,1298134.0,HeLa,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,HELA_CERVIX,2.930398
ACH-001106,SIDM01034,1330933.0,KOPN-8,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4360057
ACH-001151,SIDM00091,905969.0,OVCAR-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR5_OVARY,3.8082662
ACH-001190,SIDM00082,905955.0,SK-MEL-2,Skin,Melanoma,Melanoma,SKMEL2_SKIN,3.4118679
ACH-001193,SIDM01097,909731.0,SK-PN-DW,Bone,Ewing Sarcoma,Ewing Sarcoma,SKPNDW_BONE,2.042646
ACH-001227,SIDM00399,1299052.0,UPCI-SCC-090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,UPCISCC090_UPPER_AERODIGESTIVE_TRACT,3.350649
ACH-001274,SIDM01161,909759.0,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SW982_SOFT_TISSUE,2.4277146
ACH-001306,SIDM00997,906795.0,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8305C_THYROID,3.51462
ACH-001307,SIDM00996,924102.0,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8505C_THYROID,3.5197132
ACH-001321,SIDM00484,,TT,Thyroid,Medullary Thyroid Cancer,Medullary Thyroid Cancer,TT_THYROID,4.4568095
ACH-001328,SIDM00995,910925.0,A-431,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A431_SKIN,2.3108232
ACH-001332,SIDM00501,1240122.0,BICR 78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR78_UPPER_AERODIGESTIVE_TRACT,3.5453975
ACH-001333,SIDM00889,687505.0,C-33 A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C33A_CERVIX,2.2594323
ACH-001334,SIDM00905,687506.0,C-4 I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C4I_CERVIX,2.800049
ACH-001336,SIDM00923,906824.0,Ca Ski,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CASKI_CERVIX,2.730885
ACH-001338,SIDM00285,910941.0,CHP-134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHP134_AUTONOMIC_GANGLIA,2.2948384
ACH-001341,SIDM00864,906843.0,DoTc2 4510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,DOTC24510_CERVIX,2.8649898
ACH-001344,SIDM00227,906872.0,GI-ME-N,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,GIMEN_AUTONOMIC_GANGLIA,3.6176386
ACH-001345,SIDM00537,907291.0,GP5d,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,GP5D_LARGE_INTESTINE,2.335184
ACH-001350,SIDM00496,924151.0,HTC-C3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,HTCC3_THYROID,2.9346075
ACH-001360,SIDM00638,1240179.0,MS751,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,MS751_CERVIX,2.91324
ACH-001368,SIDM00444,1503363.0,OAC-M5.1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OACM51_OESOPHAGUS,2.8983521
ACH-001373,SIDM00476,1480361.0,OV17R,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV17R_OVARY,2.6315854
ACH-001374,SIDM01140,909255.0,PA-1 [PA1],Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,Mixed Germ Cell Tumor,PA1_OVARY,1.7007585
ACH-001384,SIDM00218,930083.0,RO82-W-1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,RO82W1_THYROID,5.6402197
ACH-001398,SIDM01162,1240220.0,SW 156,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,SW156_KIDNEY,3.2417161
ACH-001399,SIDM01168,909753.0,SW 626,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW626_LARGE_INTESTINE,3.7958071
ACH-001400,SIDM01157,924247.0,SW 954,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,SW954_CERVIX,1.9659468
ACH-001401,SIDM00814,909744.0,SW-13,Adrenal Gland,Adrenocortical Carcinoma,Adrenocortical Carcinoma,SW13_ADRENAL_CORTEX,2.1964703
ACH-001402,SIDM01174,724839.0,SW756,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SW756_CERVIX,4.728479
ACH-001418,SIDM00815,1480374.0,UWB1.289,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,UWB1289_OVARY,2.6246066
ACH-001442,SIDM00794,910697.0,A388,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A388_SKIN,2.4432395
ACH-001443,SIDM00491,1290722.0,ASH-3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,ASH3_THYROID,3.0628784
ACH-001453,SIDM00964,924105.0,BPH-1,Prostate,Non-Cancerous,"Hyperplasia, Prostate",BPH1_PROSTATE,2.3450842
ACH-001489,SIDM00508,1322212.0,COR-L32,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,CORL32_LUNG,2.5498807
ACH-001496,SIDM00539,1503366.0,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenocarcinoma of the Gastroesophageal Junction,ESO26_OESOPHAGUS,3.3498068
ACH-001497,SIDM00538,1503367.0,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESO51_OESOPHAGUS,3.048669
ACH-001498,SIDM00859,1297449.0,Farage,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1678873
ACH-001500,SIDM01041,1503361.0,FLO-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,FLO1_OESOPHAGUS,2.5464773
ACH-001517,SIDM00596,907051.0,HEC-1,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC1_ENDOMETRIUM,3.9797022
ACH-001519,SIDM00535,907290.0,H-EMC-SS,Bone,Chondrosarcoma,Extraskeletal Myxoid Chondrosarcoma,HEMCSS_BONE,3.8334973
ACH-001525,SIDM00679,907068.0,HT-3,Cervix,Cervical Adenocarcinoma,Cervical Adenocarcinoma,HT3_CERVIX,3.1880424
ACH-001526,SIDM00599,907072.0,HuO9,Bone,Osteosarcoma,Osteosarcoma,HUO9_BONE,2.1890395
ACH-001528,SIDM00600,1240154.0,IHH-4,Thyroid,Well-Differentiated Thyroid Cancer,Papillary Thyroid Cancer,IHH4_THYROID,2.168996
ACH-001529,SIDM01039,907175.0,JAR,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,JAR_PLACENTA,1.9010863
ACH-001530,SIDM01218,907176.0,JEG-3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,JEG3_PLACENTA,2.9706225
ACH-001542,SIDM00604,1298215.0,KON,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,KON_UPPER_AERODIGESTIVE_TRACT,1.9282608
ACH-001543,SIDM00603,753570.0,KOSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT,2.0295844
ACH-001549,SIDM00294,713899.0,Lu-135,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,LU135_LUNG,2.7603927
ACH-001578,SIDM00655,908441.0,NCCIT,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,NCCIT_TESTIS,2.553447
ACH-001603,SIDM00577,908447.0,NH-12,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NH12_AUTONOMIC_GANGLIA,2.7318425
ACH-001605,SIDM00574,908452.0,no.10,CNS/Brain,Diffuse Glioma,Glioblastoma,NO10_CENTRAL_NERVOUS_SYSTEM,3.0539277
ACH-001617,SIDM00459,1659819.0,OCI-LY7,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.431702
ACH-001625,SIDM00566,1298362.0,OSC-19,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OSC19_UPPER_AERODIGESTIVE_TRACT,2.524704
ACH-001626,SIDM00565,1240196.0,OSC-20,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OSC20_UPPER_AERODIGESTIVE_TRACT,3.7272105
ACH-001630,SIDM00472,1480372.0,PEO1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,PEO1_OVARY,3.8392115
ACH-001638,SIDM00448,1330995.0,RC-K8,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.5183442
ACH-001641,SIDM00350,1299050.0,SAT,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,SAT_UPPER_AERODIGESTIVE_TRACT,3.1811767
ACH-001642,SIDM00384,910930.0,SCC-3,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4673321
ACH-001650,SIDM00394,1240212.0,SISO,Cervix,Cervical Adenocarcinoma,Cervical Adenocarcinoma,SISO_CERVIX,3.259257
ACH-001653,SIDM00393,1503364.0,SK-GT-2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SKGT2_STOMACH,2.6447337
ACH-001654,SIDM00483,1503365.0,SK-GT-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,SKGT4_OESOPHAGUS,4.3884554
ACH-001655,SIDM00377,1240215.0,SKN,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,SKN_ENDOMETRIUM,3.4127178
ACH-001674,SIDM00324,910780.0,TGW,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,TGW_AUTONOMIC_GANGLIA,2.3177538
ACH-001680,SIDM00424,909777.0,U-698-M,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6480143
ACH-001702,SIDM01179,688121.0,VA-ES-BJ,Soft Tissue,Epithelioid Sarcoma,Epithelioid Sarcoma,VAESBJ_SOFT_TISSUE,3.56227
ACH-001703,SIDM00416,1331048.0,VAL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.7476317
ACH-001704,SIDM00319,930301.0,VMRC-MELG,Skin,Melanoma,Melanoma,VMRCMELG_SKIN,3.159244
ACH-001709,SIDM00412,909785.0,WSU-NHL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0014547
ACH-001711,SIDM01132,683667.0,PFSK-1,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,PFSK1_CENTRAL_NERVOUS_SYSTEM,2.4455023
ACH-001715,SIDM00930,906827.0,CAL-72,Bone,Osteosarcoma,Osteosarcoma,CAL72_BONE,2.739001
ACH-001716,SIDM00544,906875.0,GOTO,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,GOTO_AUTONOMIC_GANGLIA,2.81656
ACH-001819,SIDM00332,,MFM-223,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MFM223_BREAST,3.7277498
ACH-001820,SIDM00954,,COLO 824,Breast,"Breast Neoplasm, NOS","Breast Neoplasm, NOS",COLO824_BREAST,2.7870739
ACH-001861,SIDM00252,,TGBC1TKB,Biliary Tract,Intracholecystic Papillary Neoplasm,Gallbladder Cancer,TGBC1TKB_BILIARY_TRACT,3.7153804
ACH-002020,SIDM00381,,SKG-IIIa,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SKGIIIA_CERVIX,3.5208762
ACH-002029,SIDM00351,,SAS,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,SAS_UPPER_AERODIGESTIVE_TRACT,2.2659397
ACH-002040,SIDM00291,,HMV-II,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,HMVII_SKIN,2.9385786
ACH-002043,SIDM00489,,Ca9-22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CA922_UPPER_AERODIGESTIVE_TRACT,2.6309094
ACH-002045,SIDM00591,,HO-1-u-1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HO1U1_UPPER_AERODIGESTIVE_TRACT,1.9430933
ACH-002051,SIDM00296,,Lu-134-A,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,LU134A_LUNG,2.0013137
ACH-002052,SIDM00293,,Lu-139,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,LU139_LUNG,3.0422623
ACH-002059,SIDM00364,,P30/OHK,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6118184
ACH-002062,SIDM00374,,SLVL,Lymphoid,Mature B-Cell Neoplasms,Splenic Marginal Zone Lymphoma,SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.101308
ACH-002067,SIDM00242,,NOS-1,Bone,Osteosarcoma,Osteosarcoma,NOS1_BONE,2.4734447
ACH-002077,SIDM00292,,Lu-165,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,LU165_LUNG,4.779173
ACH-002170,SIDM00792,1298349.0,NCI-H1688,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1688_LUNG,3.0019653
ACH-002214,SIDM00896,910919.0,BC-1,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2258389
ACH-002215,SIDM00895,910918.0,BC-3,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,BC3_PLEURA,1.3431666
ACH-002283,SIDM00254,949176.0,NB5,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NB5_AUTONOMIC_GANGLIA,2.7902875
ACH-002290,SIDM00576,908448.0,NKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1373832
ACH-002291,SIDM01203,908454.0,NTERA-2 cl.D1,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,NTERA2CLD1_TESTIS,2.08494
