File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a536b3be-a06a-4ace-9c58-c646d5b9c6f6	68ac80e0-e3d6-48da-8875-e7947f95eb5e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-61-1899	TCGA-61-1899-01A	Tumor	Primary	Unknown	Unknown
a5379195-3b15-41a2-a571-0ad5f3da0b69	d9ca8536-f4cd-4628-8eda-ab5bc120adc1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-C8-A12P	TCGA-C8-A12P-01A	Tumor	Primary	Unknown	OCT
a53cc955-77af-4f39-b406-80038a5fa82c	67f4d884-7237-43e5-9a30-d603fac9871f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUAD	TCGA-17-Z054	TCGA-17-Z054-01A	Tumor	Primary	Solid Tissue	Unknown
a54111d7-bfe3-4cea-aa9b-6adbda832a1b	e2f24378-edc9-443e-8082-8e5a0faa53f8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PCPG	TCGA-W2-A7HE	TCGA-W2-A7HE-01A	Tumor	Primary	Solid Tissue	Unknown
a552e159-7967-4dde-a94f-314a7b08dea0	dae77e9a-3651-48c0-9de2-8766939a7e80.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUAD	TCGA-44-7671	TCGA-44-7671-01A	Tumor	Primary	Solid Tissue	Unknown
a55aa46c-9cf8-45b3-b7b5-29e29f83caeb	2c7a3e1a-0d97-44d0-a25a-de5a6f67f29f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A3A2	TCGA-DD-A3A2-01A	Tumor	Primary	Unknown	Unknown
a55c219b-d5a5-4f98-8a4e-193282bbc3e7	cb5f7c66-efa9-4572-a224-a0a12cc45236.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-YC-A89H	TCGA-YC-A89H-01A	Tumor	Primary	Solid Tissue	Unknown
a569e8f0-ef1e-440c-9474-16585e076b05	1d232d64-831c-40b8-a528-8a3e063a5645.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-5L-AAT0	TCGA-5L-AAT0-01A	Tumor	Primary	Unknown	Unknown
a5733016-23a0-4130-8a75-47cac8c782b3	14dfb33b-39dd-4137-89e6-34578bc19b53.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PCPG	TCGA-QT-A7U0	TCGA-QT-A7U0-01A	Tumor	Primary	Solid Tissue	Unknown
a5773dfb-8058-4e75-a866-24739a48df41	552de547-5bee-463e-a315-dda8e3bb7a6d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2950	TCGA-AB-2950-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
a5782411-5b05-477a-a0a0-1a177aa6d336	fdac3a15-927b-4328-81eb-a4b62c8a70f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUSC	TCGA-NC-A5HK	TCGA-NC-A5HK-01A	Tumor	Primary	Solid Tissue	OCT
a57d20db-333a-4824-a051-0a37ba23312b	7a8a5492-7076-4820-9e0b-1b6b8b55035d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2910	TCGA-AB-2910-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
